Comment,Designator,Footprint,LCSC
CONN HDR 14POS 0.1 GOLD PCB,A401,,
50V 3.3uF,C301,1210,C1021610
CAP CER 0.1UF 100V X5R,C302 C501 C502 C504 C505 C508 C509 C510 C511 C516 C701 C702 C704 C705 C708 C709 C901 C902 C903 C904,0402,C162178
CAP CER 1UF 25V X5R,C303 C304,0402,C711085
CAP CER 47UF 10V X5R,C305 C507 C707,0805,C6119904
CAP CER 0.022UF 100V X7R,C503 C703,0603,C161234
CAP CER 0.47UF 35V X5R,C506 C706,0402,C711580
CAP CER 2.2UF 100V X7T 0805,C512 C513 C517 C710 C711,0805,C2981733
CAP ALUM 100UF 20% 50V SMD,C514 C515 C712 C713 C801,SMD D8xL10.2mm,C336425
CAP CER 0.22UF 25V X6S,C601 C602 C604,0402,C126623
CAP CER 1UF 35V X5R,C603,0402,C307413
50V 15A PowerDI-5 Super Barrier Rectifier,D301,PowerDI-5,C211388
LED RED CLEAR CHIP SMD,D302,0402,C2852592
DC Power Jack 2.5A 24V 2.1MM,J301,SMD,C2880543
TERM BLOCK HDR 2POS 90DEG 3.5MM,J501 J701 J801,Plugin P=3.5mm,C3584780
TERM BLOCK HDR 4POS 90DEG 3.5MM,J502 J702 J901,Push-Pull P=3.5mm,C480590
CONN HEADER SMD R/A 5POS 1.25MM,J503,SMD,C17256390
RA73F 2A 2K32 0.1% 5K RL,R301,0805,C3961061
RES SMD 1.8K OHM 5% 100mW,R401 R402 R505 R704,0402,C409855
0.36 250mW Current Sense Resistor,R501 R502,1206,C327079
RES SMD 10 OHM 1% 62.5mW,R503 R703,0402,C138066
RES 200K OHM 1% 62.5mW,R504,0402,C25764
RES SMD 40k OHM 1% 100mW,R601 R602,0603,C3016445
0.12 750mW Current Sense Resistor,R701 R702,1206,C2076122
RES 30 OHM 1% 62.5mW,R801,0402,C3036820
SPEAKER 8OHM 700MW,SP601,,C18186315
DC-DC 5V 600mA Output 3-65V Input,U301,QFN-11(3.5x4.5),C19078014
IC SWITCH DEBOUNCER,U501 U701,SOT-143,C41637
IC MTR DRV BIPOLAR 5.5-46V,U502 U702,TQFP-48-EP(7x7),C188832
IC TRANSLTR BIDIRECTIONAL 2 CHAN,U503,VSSOP-8-0.5mm,C964636
IC AMP CLASS AB MONO 1.7W,U601,QFN-8-EP(3x3),C12400
IC LED DRVR LIN PWM 200MA,U801,SC-74-6,C112923
IC SIGNAL COND ANLG,U901,VQFN-36-EP(6x6),C2678416
XTAL OSC XO 16MHZ 3.3V HCMOS SMD,X501 X701,SMD2520-4P,C2451298
