Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A401","TEENSY_4.0_HEADERS","TEENSY_4.0_HEADERS",92.400000,-59.600000,0.000000,top
"C301","3.3uF_50V","C_1210_3225Metric",79.400000,-55.600000,-90.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",76.400000,-55.600000,-90.000000,top
"C303","1uF_25V","C_0402_1005Metric",80.900000,-64.100000,90.000000,top
"C304","1uF_25V","C_0402_1005Metric",77.400000,-65.600000,0.000000,top
"C305","47uF_10V","C_0805_2012Metric",77.400000,-67.350000,0.000000,top
"C501","0.1uF_100V","C_0402_1005Metric",116.900000,-60.100000,0.000000,top
"C502","0.1uF_100V","C_0402_1005Metric",103.650000,-68.350000,180.000000,top
"C503","22nF_100V","C_0603_1608Metric",114.400000,-70.100000,180.000000,top
"C504","0.1uF_100V","C_0402_1005Metric",111.400000,-69.600000,0.000000,top
"C505","0.1uF_100V","C_0402_1005Metric",105.150000,-80.350000,-90.000000,top
"C506","0.47uF_35V","C_0402_1005Metric",117.650000,-72.350000,-90.000000,top
"C507","47uF_10V","C_0805_2012Metric",116.650000,-74.600000,0.000000,top
"C508","0.1uF_100V","C_0402_1005Metric",117.900000,-84.350000,0.000000,top
"C509","0.1uF_100V","C_0402_1005Metric",111.400000,-68.600000,0.000000,top
"C510","0.1uF_100V","C_0402_1005Metric",111.400000,-82.600000,0.000000,top
"C511","0.1uF_100V","C_0402_1005Metric",116.150000,-89.850000,-90.000000,top
"C512","2.2uF_100V","C_0805_2012Metric",111.400000,-67.100000,0.000000,top
"C513","2.2uF_100V","C_0805_2012Metric",111.400000,-84.100000,0.000000,top
"C514","100uF_50V","CAP_EEEHAH101UAP",108.650000,-61.600000,180.000000,top
"C515","100uF_50V","CAP_EEEHAH101UAP",108.650000,-89.600000,180.000000,top
"C516","0.1uF_100V","C_0402_1005Metric",117.650000,-89.850000,-90.000000,top
"C517","2.2uF_100V","C_0805_2012Metric",119.900000,-81.600000,90.000000,top
"C601","0.22uF_25V","C_0402_1005Metric",80.400000,-80.600000,-90.000000,top
"C602","0.22uF_25V","C_0402_1005Metric",82.400000,-80.600000,-90.000000,top
"C603","1uF_35V","C_0402_1005Metric",81.400000,-90.600000,0.000000,top
"C604","0.22uF_25V","C_0402_1005Metric",83.400000,-83.600000,180.000000,top
"C701","0.1uF_100V","C_0402_1005Metric",122.400000,-145.600000,180.000000,top
"C702","0.1uF_100V","C_0402_1005Metric",107.650000,-135.600000,0.000000,top
"C703","22nF_100V","C_0603_1608Metric",107.900000,-144.600000,90.000000,top
"C704","0.1uF_100V","C_0402_1005Metric",108.400000,-141.600000,-90.000000,top
"C705","0.1uF_100V","C_0402_1005Metric",97.650000,-135.350000,180.000000,top
"C706","0.47uF_35V","C_0402_1005Metric",105.650000,-147.850000,180.000000,top
"C707","47uF_10V","C_0805_2012Metric",103.400000,-146.850000,-90.000000,top
"C708","0.1uF_100V","C_0402_1005Metric",109.400000,-141.600000,-90.000000,top
"C709","0.1uF_100V","C_0402_1005Metric",95.400000,-141.600000,-90.000000,top
"C710","2.2uF_100V","C_0805_2012Metric",110.900000,-141.600000,-90.000000,top
"C711","2.2uF_100V","C_0805_2012Metric",93.900000,-141.600000,-90.000000,top
"C712","100uF_50V","CAP_EEEHAH101UAP",116.400000,-141.600000,-90.000000,top
"C713","100uF_50V","CAP_EEEHAH101UAP",88.400000,-141.600000,-90.000000,top
"C801","100uF_50V","CAP_EEEHAH101UAP",108.400000,-104.600000,-90.000000,top
"C901","0.1uF_100V","C_0402_1005Metric",112.400000,-128.600000,-90.000000,top
"C902","0.1uF_100V","C_0402_1005Metric",111.400000,-128.600000,-90.000000,top
"C903","0.1uF_100V","C_0402_1005Metric",114.400000,-128.600000,-90.000000,top
"C904","0.1uF_100V","C_0402_1005Metric",117.400000,-122.600000,0.000000,top
"D301","D_50V_15A","POWERDI5_DIO",121.400000,-46.600000,0.000000,top
"D302","LED_RED","LED_0402-1005_KNB",102.900000,-49.600000,90.000000,top
"J301","2.1","Connector_BarrelJack_XKB_2.1",111.400000,-49.600000,-90.000000,top
"J501","Conn_01x02_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_Screw",124.400000,-57.600000,90.000000,top
"J502","Conn_01x04_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_Screw",124.400000,-70.600000,90.000000,top
"J503","Molex_PicoBlade_Horizontal","MOLEX_0532610571",127.400000,-85.600000,90.000000,top
"J701","Conn_01x02_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_Screw",115.400000,-153.600000,0.000000,top
"J702","Conn_01x04_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_Screw",102.400000,-153.600000,0.000000,top
"J801","Conn_01x02_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_Screw",124.400000,-103.600000,90.000000,top
"J901","Conn_01x04_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_Screw",124.400000,-123.600000,90.000000,top
"R301","1.5k","R_0805_2012Metric",102.900000,-46.100000,-90.000000,top
"R401","1.8k","R_0402_1005Metric",102.650000,-55.600000,-90.000000,top
"R402","1.8k","R_0402_1005Metric",103.900000,-55.600000,-90.000000,top
"R501","0.36","R_1206_3216Metric",107.400000,-68.100000,180.000000,top
"R502","0.36","R_1206_3216Metric",107.400000,-83.100000,180.000000,top
"R503","10","R_0402_1005Metric",116.650000,-72.350000,-90.000000,top
"R504","200k","R_0402_1005Metric",115.900000,-84.350000,0.000000,top
"R505","1.8k","R_0402_1005Metric",103.650000,-67.350000,180.000000,top
"R601","40k","R_0603_1608Metric",79.400000,-83.600000,-90.000000,top
"R602","40k","R_0603_1608Metric",81.400000,-83.600000,-90.000000,top
"R701","0.12","R_1206_3216Metric",109.900000,-137.600000,90.000000,top
"R702","0.12","R_1206_3216Metric",94.650000,-137.600000,90.000000,top
"R703","10","R_0402_1005Metric",105.650000,-146.850000,180.000000,top
"R704","1.8k","R_0402_1005Metric",100.150000,-131.600000,90.000000,top
"R801","30","R_0402_1005Metric",113.400000,-105.350000,90.000000,top
